"Position (mm) Run #1";"Position (mm) Run #2";"Position (mm) Run #3";"Position (mm) Run #4";"Position (mm) Run #5";"Position (mm) Run #6";"Position (mm) Run #7";"Position (mm) Run #8"
69,3984;15,7543;-20,0302;0,5608;7,6004;-0,1165;10,3200;-6,2238
71,6734;16,4421;-19,1705;-1,6766;5,5521;1,0871;10,3200;-1,9748
73,6050;17,1475;-18,3107;-3,9141;3,2978;2,3074;10,3200;-1,0984
75,2135;17,6809;-17,4824;-6,1679;1,2493;3,3223;10,1484;0,2058
76,2861;18,0249;-16,2630;-8,2169;-1,0048;4,5259;12,3162;-6,4445
77,0150;18,3864;-15,2631;-10,4705;-3,0535;5,7464;9,1340;-1,8791
77,4205;18,5584;-13,8717;-12,5518;-5,3074;6,7611;11,0768;1,8083
77,2895;18,7480;-12,7001;-14,4448;-7,3726;7,9817;8,5305;2,6849
76,8145;18,7480;-11,1367;-16,3537;-9,4379;9,0305;7,2089;3,3727
76,0156;18,7656;-9,7774;-18,0745;-11,5192;9,8731;9,3736;4,0606
74,7002;18,6112;-8,2301;-19,8111;-13,4122;10,9220;8,5646;4,7485
72,8275;18,2671;-6,6991;-21,3598;-15,3212;11,7818;7,0860;5,7411
70,8229;17,9406;-4,9636;-22,9395;-17,0420;12,6589;6,7760;2,7435
68,2811;17,4246;-3,4328;-24,1439;-18,7629;13,3467;6,0878;6,6401
65,4144;16,9085;-1,7136;-25,3637;-20,5150;14,0346;5,4335;7,3449
61,9907;16,4099;0,0055;-26,3960;-21,8916;14,7398;4,6207;7,8609
58,4141;15,7392;1,7414;-27,4589;-23,2836;15,2558;0,9151;8,3768
54,4924;14,8790;3,2719;-28,1470;-24,4880;15,7891;2,3031;8,8927
50,2062;14,0361;5,0079;-28,8656;-25,7232;16,1331;1,6484;9,4258
45,7473;13,0038;6,5552;-29,2096;-26,5834;16,4945;0,5994;9,7697
41,1345;11,9715;8,1025;-29,5840;-27,4742;16,6665;-0,2442;10,1308
36,1392;10,9392;9,6498;-29,5840;-27,9902;16,8560;-1,2765;10,2857
31,1805;9,9240;11,2143;-29,5992;-28,5216;16,8560;-2,3253;10,6812
25,8402;8,7367;12,5898;-29,4575;-28,8808;16,8735;-3,1855;10,7154
20,5176;7,3431;13,9652;-28,9416;-29,0528;16,7190;-4,0458;8,2731
15,0048;6,1387;15,3755;-28,4409;-29,2552;16,3575;-4,9060;7,7943
9,5091;4,9512;16,3897;-27,7683;-29,0984;16,2204;-5,7662;11,0080
3,8069;3,5746;17,6283;-26,9238;-28,7696;15,6869;-6,6264;11,0252
-1,6894;2,1981;18,4706;-25,9075;-28,2537;15,3603;-7,5029;10,8532
-7,3910;0,8048;19,5375;-24,7039;-27,7530;14,8616;-8,1910;10,6812
-12,9039;-0,3830;20,2254;-23,5158;-27,0958;14,1734;-8,8792;10,7842
-18,4324;-1,7595;20,9309;-22,1559;-26,0641;13,5026;-9,5673;8,2847
-23,7882;-3,1361;21,4646;-20,6242;-25,0478;12,6424;-10,2716;0,0276
-28,9864;-4,5290;21,8085;-18,9050;-23,8442;11,7822;-10,7877;3,0743
-33,8091;-5,7335;22,1702;-17,2017;-22,6716;10,9220;-11,3198;9,1502
-38,6466;-6,9379;22,3600;-15,3107;-21,1088;10,0789;-11,6639;8,8233
-43,3404;-8,1423;22,3600;-13,4357;-19,7646;9,0466;-12,0079;8,3072
-47,4734;-9,3467;22,3778;-11,3730;-18,0455;8,0314;-12,3519;7,8082
-51,6345;-10,5673;22,2235;-9,3264;-16,3422;6,8099;-12,7280;7,1030
-55,4643;-11,5996;21,8972;-7,0755;-14,4512;5,7946;-12,7120;6,6039
-58,7492;-12,6479;21,3812;-5,0292;-12,5762;4,5902;-12,9000;5,9158
