"Position (mm) Run #1"
13,4309
16,6958
19,9783
23,0893
26,0288
28,7786
31,5648
33,9895
36,2425
38,3423
40,0801
41,6461
43,0404
44,2817
45,1604
45,8861
46,2490
46,4400
46,4779
46,1718
45,5026
44,6802
43,4946
42,1368
40,6255
38,7510
36,6858
34,6574
32,2659
29,7022
26,9480
24,2116
21,3029
18,2217
14,9505
11,6967
8,2362
4,9820
1,5385
-1,9049
-5,3648
-8,6359
-11,9230
-15,0218
-18,1364
-21,0629
-24,0203
-26,5869
-29,3715
-31,7962
-34,0486
-36,1287
-38,0513
-39,6146
-41,0058
-42,2393
-43,1140
-43,8166
-44,3616
-44,5624
-44,3904
-44,2473
-43,7603
-42,9005
-42,0844
-40,7089
-39,3481
-37,8303
-35,9542
-33,9213
-31,5150
-29,1239
-26,5611
-23,8268
-20,9209
-17,8276
-14,7344
-11,6573
-8,3924
-5,1275
-1,8626
1,3856
4,8391
8,1040
11,3861
14,4793
17,5900
20,5115
23,4687
26,0467
28,6429
31,0856
33,1483
35,2295
37,1574
38,7233
40,0988
41,5304
42,3902
43,3064
43,6503
44,0320
44,0697
43,7445
43,2661
42,4058
41,5831
40,3974
39,0580
37,3372
35,6347
33,7784
31,5409
29,3397
26,7578
24,1937
21,4573
18,5484
15,4322
12,5403
9,2520
6,1532
3,0713
-0,2165
-3,3153
-6,4141
-9,5129
-12,6277
-15,5542
-18,4964
-21,2506
-24,0357
-26,4454
-28,8703
-31,1229
-33,2031
-35,1260
-36,6895
-38,0808
-39,2999
-40,3615
-41,0642
-41,5949
-41,9534
-42,1545
-41,9971
-41,6823
-41,0090
-40,1638
-39,1468
-37,9728
-36,4403
-34,7360
-32,8601
-30,8124
-28,5931
-26,2021
-23,6240
-21,0771
-18,1399
-15,4059
-12,5004
-9,4072
-6,3140
-3,2208
-0,1442
3,1543
6,0589
9,1521
12,2798
15,0122
17,9688
20,5468
23,1249
25,7209
28,1633
30,2261
32,3071
34,2347
35,7821
37,3664
38,6071
39,4669
40,3640
40,8986
41,2800
41,2987
41,1454
40,8201
40,3227
39,6718
38,6395
37,6628
36,0956
34,7743
32,8812
31,0064
28,9774
26,5677
24,1580
21,7838
19,0296
16,2754
13,5386
10,6121
7,6856
4,7760
1,6605
-1,2660
-4,1761
-7,3075
-10,0455
-12,9880
-15,7422
-18,5121
-21,1097
-23,5194
-25,9598
-28,0250
-30,1206
-31,8414
-33,5922
-34,9837
-36,2030
-37,2501
-38,1250
-38,8279
-39,3733
-39,5600
-39,5893
-39,2601
-38,7588
-38,0857
-37,2555
-36,0668
-34,6913
-33,3458
-31,6417
-29,7508
-27,8903
-25,6558
-23,4367
-21,0460
-18,4679
-15,9057
-13,1718
-10,2342
-7,5007
-4,5792
-1,6576
1,2639
4,1854
7,1239
9,8737
12,6235
15,3907
17,9863
20,3926
22,8167
25,0513
27,3218
29,2128
31,1219
32,8777
34,2715
35,4935
36,5436
37,4219
38,1469
38,5094
38,7000
38,7186
38,5652
38,2397
37,7607
36,9190
35,8867
34,9096
33,3425
32,0208
30,1277
28,2527
26,2055
23,9680
21,7661
19,1665
16,7743
14,2098
11,4383
8,8906
5,9472
3,1929
0,4554
-2,4711
-5,4139
-8,1681
-10,9385
-13,5204
-16,1023
-18,7157
-20,9532
-23,2061
-25,2868
-27,1798
-29,1033
-30,6519
-32,2307
-33,4501
-34,4824
-35,5594
-36,0755
-36,6212
-36,8080
-36,8228
-36,6656
-36,3365
-35,8503
-34,9905
-34,1606
-32,9570
-31,7835
-30,2362
-28,7193
-26,8284
-24,9682
-22,7337
-20,5147
-18,1084
-15,7180
-13,1399
-10,5618
-8,0000
-5,2338
-2,6723
0,0775
2,8441
5,4053
8,1721
10,7502
13,3283
15,9238
18,3476
20,5822
22,8345
24,9152
26,8061
28,7332
30,2987
31,6924
32,9142
33,9643
34,8424
35,5487
36,0831
36,4455
36,6545
36,4825
36,3474
35,8498
35,1800
34,3566
33,1522
31,9660
30,6076
29,0951
27,1841
25,4991
23,4339
21,3863
19,1665
16,7568
14,3471
11,9547
9,3899
6,6187
4,0536
1,2827
-1,2992
-3,8647
-6,6352
-9,2334
-11,6431
-14,0527
-16,4783
-18,7314
-20,7967
-22,8774
-24,7859
-26,5068
-28,2581
-29,6347
-31,0414
-32,0888
-32,9640
-33,6671
-34,1981
-34,5720
-34,5720
