"Position (mm) Run #1";"Position (mm) Run #2";"Position (mm) Run #3";"Position (mm) Run #4";"Position (mm) Run #5";"Position (mm) Run #6";"Position (mm) Run #7";"Position (mm) Run #8";"Position (mm) Run #9";"Position (mm) Run #10";"Position (mm) Run #11";"Position (mm) Run #12";"Position (mm) Run #13"
76,9615;16,9755;-20,3585;-2,3651;4,8636;2,4626;9,3393;0,2333;8,5159;34,5720;17,5297;-5,7171;-9,5673
79,2373;17,4914;-19,6863;-4,6190;2,6094;3,6662;8,7891;-2,7712;11,1111;34,6088;15,9810;-7,1099;-10,2555
81,1903;18,0249;-18,8265;-6,6679;0,5608;4,8866;8,7025;1,2924;13,5174;34,2647;14,4323;-8,3144;-10,9436
82,6281;18,3864;-17,9825;-8,9216;-1,6766;5,9014;7,6191;2,1690;15,9412;33,9574;12,9009;-9,5188;-11,6478
83,5295;18,5584;-16,9508;-10,9868;-3,9306;7,1220;7,2732;2,8568;18,1757;33,2876;11,1973;-10,7393;-12,1639
84,1080;18,7480;-15,9350;-13,0680;-5,9794;8,1537;4,9343;3,5447;20,4456;32,4456;9,3043;-11,7716;-12,6960
84,1706;18,7480;-14,7314;-14,9611;-8,2331;9,1853;3,4438;4,2326;22,3188;31,4315;7,4112;-12,8039;-13,0400
83,6962;18,7656;-13,5438;-16,8699;-10,3145;10,2342;5,3997;4,9204;24,4173;30,2453;5,5182;-13,8522;-13,3840
82,8776;18,6112;-12,1683;-18,5908;-12,1915;11,0940;4,7115;5,6083;26,1364;28,8687;3,6251;-14,7283;-13,7440
81,7354;18,2671;-10,8090;-20,3273;-14,2727;11,9538;4,2595;6,3131;27,8916;27,5283;1,7488;-15,4165;-13,9320
80,0765;17,9231;-9,2617;-21,8916;-16,1816;12,8308;0,7265;6,8290;29,2671;25,8253;-0,3330;-16,1046;-13,9320
77,8802;17,6141;-7,7144;-23,2681;-17,9025;13,5187;2,3198;7,3279;30,6789;23,9323;-2,2261;-16,8244;-13,9320
75,3391;16,9085;-6,1834;-24,6601;-19,6390;14,2066;1,5098;8,0499;31,7106;22,0570;-4,1191;-17,1526;-13,9480
72,4532;16,4099;-4,4478;-25,8952;-21,2033;14,9118;0,0666;8,3768;32,7606;20,0095;-6,0122;-17,7002;-13,7760
69,2425;15,7392;-2,9170;-26,7554;-22,5798;15,4452;-0,6381;8,9098;33,6570;17,7720;-7,9052;-17,8722;-13,6199
65,4942;14,8790;-1,1979;-27,6157;-23,9718;15,7891;-1,0878;9,2538;34,1729;15,5520;-9,8144;-18,0443;-13,2760
61,4007;14,0188;0,5379;-28,5063;-25,1917;16,1331;-2,3088;9,8549;34,7256;13,1423;-11,5353;-18,2320;-12,9320
56,9619;13,1759;2,0685;-29,0376;-26,2393;16,4945;-3,3741;7,7367;34,9160;10,7326;-13,2721;-18,2477;-12,6201
52,1585;12,1435;3,7876;-29,3816;-27,0995;16,6665;-3,9964;3,6362;34,9344;8,3400;-14,8208;-18,0915;-11,9162
47,1823;11,1284;5,5237;-29,7560;-27,9902;16,8560;-5,4385;6,8841;34,7808;5,7581;-16,3854;-17,7475;-11,4163
42,0521;9,9240;7,0710;-29,7560;-28,5063;16,8735;-6,0939;10,6640;34,4551;3,1761;-17,7619;-17,4036;-10,7285
36,5578;8,7196;8,6183;-29,7863;-29,0376;16,7015;-7,1588;10,6640;33,9757;0,5942;-19,1542;-17,0754;-10,0406
30,8724;7,5152;10,1827;-29,4424;-29,3968;16,5295;-7,8470;10,6640;33,1155;-1,9877;-20,3586;-16,5753;-9,3689
25,2049;6,3277;11,5582;-29,1136;-29,5840;16,3749;-8,5351;10,6812;32,2736;-4,5697;-21,5786;-15,8874;-8,5091
19,3470;4,9343;12,9336;-28,6281;-29,6143;16,0309;-9,2071;10,4920;31,2777;-7,1679;-22,6264;-15,2154;-7,6656
13,5064;3,7467;14,3264;-27,7683;-29,2704;15,7043;-10,1157;10,5092;29,9012;-9,5614;-23,5021;-14,3557;-6,6176
7,4758;2,3701;15,5300;-26,9238;-28,9416;15,1882;-10,3952;10,3372;28,5608;-12,1755;-24,2057;-13,5118;-5,7742
1,4453;0,9936;16,7511;-25,9075;-28,4409;14,6895;-11,4918;10,1823;26,8399;-14,3970;-24,7218;-12,4962;-4,7425
-4,5853;-0,3830;17,7828;-24,7039;-27,7530;14,0014;-11,7556;10,1987;25,1370;-16,8225;-25,2532;-11,2765;-3,7108
-10,6320;-1,7595;18,8320;-23,5313;-27,0958;13,3306;-12,9920;5,5264;23,2439;-19,0757;-25,6126;-10,2610;-2,6791
-16,4741;-3,1526;19,7095;-21,9840;-26,0641;12,4704;-13,8841;9,1502;21,3863;-21,1565;-25,8000;-9,0574;-1,6474
-22,5357;-4,3570;20,3973;-20,4366;-25,0478;11,6102;-14,4639;8,8233;19,1489;-23,0495;-25,8154;-7,8700;-0,6157
-28,2364;-5,5450;21,1029;-18,9207;-23,8597;10,7499;-14,2760;8,3413;16,9114;-24,9580;-25,6434;-6,4783;0,4160
-33,7792;-6,9379;21,6365;-17,0298;-22,4997;9,9069;-14,4512;7,4130;14,7088;-26,6942;-25,5021;-5,2911;1,4477
-38,9469;-8,1423;21,9805;-15,1388;-20,9524;8,8746;-12,3519;7,2750;12,1096;-28,2581;-24,9862;-3,9156;2,4794
-44,1436;-9,3629;22,3600;-13,2638;-19,4208;7,8593;-12,6960;6,7760;9,7170;-29,6347;-24,4857;-2,5402;3,5110
-48,9948;-10,3952;22,3422;-11,2011;-17,7174;6,6379;-13,0720;6,0709;7,1181;-31,0414;-23,8133;-1,1647;4,5427
-53,5006;-11,4275;22,5498;-9,1383;-15,8264;5,6225;-12,9760;5,5717;4,7422;-32,0888;-22,9690;0,1941;5,5914
-57,6611;-12,4598;22,3778;-7,0918;-13,9355;4,4181;-14,1837;4,8836;1,9712;-32,9640;-21,9373;1,7581;6,4511
-61,4629;-13,5081;22,2235;-4,8573;-12,0606;3,1969;-13,2440;4,1954;-0,6107;-33,6671;-20,9212;3,1335;7,2939
-65,1189;-14,3843;21,8972;-2,6227;-9,9978;2,1813;-13,2920;3,5241;-3,1927;-34,1981;-19,7333;4,5090;8,3597
-68,2442;-15,0724;21,3989;-0,3882;-7,9350;0,9769;-12,7440;2,6471;-5,7910;-34,5720;-18,3579;5,9014;9,0476
-71,0246;-15,7606;20,7107;1,8464;-5,8886;-0,2275;-12,5880;1,9590;-8,1844;-34,5720;-16,9982;7,1050;9,7183
-73,4733;-16,4645;20,0403;4,0809;-3,6541;-1,4320;-12,2441;1,2876;-10,7825;-34,6018;-15,4509;8,2915;10,6125
