"Time (s) Run #1";"Position (mm) Run #1";"Time (s) Run #2";"Position (mm) Run #2";"Time (s) Run #3";"Position (mm) Run #3"
2,690;0,3440;2,690;60,8880;2,690;123,3240
2,700;0,3440;2,700;60,8880;2,700;123,3240
2,710;0,3440;2,710;60,8880;2,710;123,3240
2,720;0,3440;2,720;60,8880;2,720;123,3240
2,730;0,3440;2,730;60,8745;2,730;123,3240
2,740;0,3440;2,740;61,0600;2,740;123,3240
2,750;0,3440;2,750;61,0600;2,750;123,3240
2,760;0,3440;2,760;61,0600;2,760;123,3240
2,770;0,3440;2,770;61,0600;2,770;123,3240
2,780;0,3440;2,780;61,0600;2,780;123,3240
2,790;0,3440;2,790;61,0600;2,790;123,3240
2,800;0,3440;2,800;61,0600;2,800;123,3240
2,810;0,3440;2,810;61,0600;2,810;123,3240
2,820;0,3440;2,820;61,0600;2,820;123,3240
2,830;0,3440;2,830;61,0600;2,830;123,3240
2,840;0,3440;2,840;61,0600;2,840;123,3240
2,850;0,3440;2,850;61,0600;2,850;123,3240
2,860;0,3440;2,860;61,0600;2,860;123,3240
2,870;0,3440;2,870;61,0600;2,870;123,3240
2,880;0,3440;2,880;61,0600;2,880;123,3240
2,890;0,3440;2,890;61,0600;2,890;123,3240
2,900;0,3440;2,900;61,0465;2,900;123,3407
2,910;0,3440;2,910;61,2320;2,910;123,1520
2,920;0,3440;2,920;61,2320;2,920;123,1520
2,930;0,3545;2,930;61,2320;2,930;123,1520
2,940;0,1720;2,940;61,2320;2,940;123,1520
2,950;0,1720;2,950;61,2320;2,950;123,1520
2,960;0,1720;2,960;61,2320;2,960;123,1520
2,970;0,1720;2,970;61,2320;2,970;123,1520
2,980;0,1720;2,980;61,2320;2,980;123,1520
2,990;0,1720;2,990;61,2320;2,990;123,1520
3,000;0,1720;3,000;61,2320;3,000;123,1520
3,010;0,1720;3,010;61,2320;3,010;123,1520
3,020;0,1720;3,020;61,2320;3,020;123,1520
3,030;0,1720;3,030;61,2320;3,030;123,1520
3,040;0,1720;3,040;61,2320;3,040;123,1520
3,050;0,1825;3,050;61,2320;3,050;123,1520
3,060;0,0000;3,060;61,2320;3,060;123,1520
3,070;0,0000;3,070;61,2184;3,070;123,1520
3,080;0,0000;3,080;61,4040;3,080;123,1520
3,090;0,0000;3,090;61,4040;3,090;123,1520
3,100;0,0000;3,100;61,4040;3,100;123,1520
3,110;0,0000;3,110;61,4040;3,110;123,1520
3,120;0,0000;3,120;61,4040;3,120;123,1354
3,130;0,0000;3,130;61,4040;3,130;123,3407
3,140;0,0000;3,140;61,4040;3,140;123,1354
3,150;0,0000;3,150;61,4040;3,150;123,3240
3,160;0,0000;3,160;61,4040;3,160;123,3240
3,170;0,0000;3,170;61,4040;3,170;123,3240
3,180;0,0000;3,180;61,4040;3,180;123,3240
3,190;0,0000;3,190;61,4040;3,190;123,3240
3,200;0,0000;3,200;61,4040;3,200;123,3240
3,210;0,0000;3,210;61,4040;3,210;123,3240
3,220;0,0000;3,220;61,4040;3,220;123,3240
3,230;0,0000;3,230;61,4176;3,230;123,3240
3,240;0,0000;3,240;61,2320;3,240;123,3240
3,250;0,0000;3,250;61,2320;3,250;123,3240
3,260;0,0000;3,260;61,2320;3,260;123,3240
3,270;0,0000;3,270;61,2320;3,270;123,3240
3,280;0,0000;3,280;61,2320;3,280;123,3240
3,290;0,0000;3,290;61,2320;3,290;123,3240
3,300;0,0000;3,300;61,2320;3,300;123,3240
3,310;0,0000;3,310;61,2320;3,310;123,3240
3,320;0,0000;3,320;61,2320;3,320;123,3240
3,330;0,0000;3,330;61,2320;3,330;123,3240
3,340;0,0000;3,340;61,2320;3,340;123,3240
3,350;0,0000;3,350;61,2320;3,350;123,3240
3,360;0,0000;3,360;61,2320;3,360;123,3240
3,370;0,0000;3,370;61,2320;3,370;123,3240
3,380;0,0000;3,380;61,2320;3,380;123,3240
3,390;0,0000;3,390;61,2320;3,390;123,3240
3,400;0,0000;3,400;61,2320;3,400;123,3240
3,410;0,0000;3,410;61,2320;3,410;123,3240
3,420;0,0000;3,420;61,2320;3,420;123,3240
3,430;0,0000;3,430;61,2456;3,430;123,3240
3,440;0,0000;3,440;61,0600;3,440;123,3240
3,450;0,0000;3,450;61,0600;3,450;123,3240
3,460;-0,0105;3,460;61,0600;3,460;123,3240
3,470;0,1720;3,470;61,0600;3,470;123,3240
3,480;0,1720;3,480;61,0600;3,480;123,3240
3,490;0,1720;3,490;61,0600;3,490;123,3240
3,500;0,1720;3,500;61,0600;3,500;123,3240
3,510;0,1720;3,510;61,0600;3,510;123,3240
3,520;0,1720;3,520;61,0600;3,520;123,3240
3,530;0,1720;3,530;61,0600;3,530;123,3240
3,540;0,1720;3,540;61,0600;3,540;123,3240
3,550;0,1720;3,550;61,0600;3,550;123,3240
3,560;0,1720;3,560;61,0600;3,560;123,3240
3,570;0,1720;3,570;61,0600;3,570;123,3240
3,580;0,1615;3,580;61,0600;3,580;123,3240
3,590;0,3440;3,590;61,0600;3,590;123,3240
3,600;0,3440;3,600;61,0600;3,600;123,3240
3,610;0,3440;3,610;61,0600;3,610;123,3240
3,620;0,3440;3,620;61,0600;3,620;123,3240
3,630;0,3440;3,630;61,0600;3,630;123,3240
3,640;0,3440;3,640;61,0600;3,640;123,3240
3,650;0,3440;3,650;61,0600;3,650;123,3240
3,660;0,3440;3,660;61,0600;3,660;123,3240
3,670;0,3440;3,670;61,0600;3,670;123,3240
3,680;0,3440;3,680;61,0600;3,680;123,3240
3,690;0,3440;3,690;61,0600;3,690;123,3240
3,700;0,3440;3,700;61,0600;3,700;123,3240
3,710;0,3440;3,710;61,0600;3,710;123,3240
3,720;0,3440;3,720;61,0600;3,720;123,3240
3,730;0,3440;3,730;61,0600;3,730;123,3407
3,740;0,3440;3,740;61,0600;3,740;123,1520
3,750;0,3440;3,750;61,0600;3,750;123,1520
3,760;0,3440;3,760;61,0600;3,760;123,1520
3,770;0,3440;3,770;61,0600;3,770;123,1520
3,780;0,3440;3,780;61,0600;3,780;123,1520
3,790;0,3440;3,790;61,0600;3,790;123,1520
3,800;0,3440;3,800;61,0600;3,800;123,1520
3,810;0,3440;3,810;61,0600;3,810;123,1520
3,820;0,3440;3,820;61,0600;3,820;123,1520
3,830;0,3440;3,830;61,0600;3,830;123,1520
3,840;0,3440;3,840;61,0600;3,840;123,1520
3,850;0,3440;3,850;61,0600;3,850;123,1520
3,860;0,3440;3,860;61,0600;3,860;123,1520
3,870;0,3440;3,870;61,0600;3,870;123,1520
3,880;0,3440;3,880;61,0600;3,880;123,1520
3,890;0,3440;3,890;61,0600;3,890;123,1520
3,900;0,3440;3,900;61,0600;3,900;123,1520
3,910;0,3440;3,910;61,0465;3,910;123,1520
3,920;0,3440;3,920;61,2320;3,920;123,1520
3,930;0,3440;3,930;61,2320;3,930;123,1520
3,940;0,3440;3,940;61,2320;3,940;123,1520
3,950;0,3440;3,950;61,2320;3,950;123,1520
3,960;0,3545;3,960;61,2320;3,960;123,1520
3,970;0,1720;3,970;61,2320;3,970;123,1520
3,980;0,1720;3,980;61,2320;3,980;123,1520
3,990;0,1720;3,990;61,2320;3,990;123,1520
4,000;0,1720;4,000;61,2320;4,000;123,1520
4,010;0,1720;4,010;61,2320;4,010;123,1520
4,020;0,1720;4,020;61,2320;4,020;123,1520
4,030;0,1720;4,030;61,2320;4,030;123,1520
4,040;0,1720;4,040;61,2320;4,040;123,1520
4,050;0,1720;4,050;61,2320;4,050;123,1520
4,060;0,1720;4,060;61,2320;4,060;123,1520
4,070;0,1825;4,070;61,2320;4,070;123,1520
4,080;0,0000;4,080;61,2320;4,080;123,1520
4,090;0,0000;4,090;61,2320;4,090;123,1520
4,100;0,0000;4,100;61,2320;4,100;123,1520
4,110;0,0000;4,110;61,2320;4,110;123,1520
4,120;0,0000;4,120;61,2320;4,120;123,1520
4,130;0,0000;4,130;61,2320;4,130;123,1354
4,140;0,0000;4,140;61,2320;4,140;123,3240
4,150;0,0000;4,150;61,2320;4,150;123,3240
4,160;0,0105;4,160;61,2320;4,160;123,3240
4,170;-0,1720;4,170;61,2320;4,170;123,3240
4,180;-0,1720;4,180;61,2320;4,180;123,3240
4,190;-0,1720;4,190;61,2320;4,190;123,3240
4,200;-0,1720;4,200;61,2320;4,200;123,3240
4,210;-0,1720;4,210;61,2320;4,210;123,3240
4,220;-0,1720;4,220;61,2320;4,220;123,3240
4,230;-0,1720;4,230;61,2320;4,230;123,3240
4,240;-0,1720;4,240;61,2320;4,240;123,3240
4,250;-0,1720;4,250;61,2320;4,250;123,3240
4,260;-0,1720;4,260;61,2320;4,260;123,3240
4,270;-0,1720;4,270;61,2320;4,270;123,3240
4,280;-0,1720;4,280;61,2320;4,280;123,3240
4,290;-0,1720;4,290;61,2320;4,290;123,3240
4,300;-0,1720;4,300;61,2320;4,300;123,3240
4,310;-0,1720;4,310;61,2320;4,310;123,3240
4,320;-0,1720;4,320;61,2320;4,320;123,3240
4,330;-0,1720;4,330;61,2320;4,330;123,3240
4,340;-0,1720;4,340;61,2320;4,340;123,3240
4,350;-0,1720;4,350;61,2320;4,350;123,3240
4,360;-0,1720;4,360;61,2320;4,360;123,3240
4,370;-0,1720;4,370;61,2320;4,370;123,3240
4,380;-0,1615;4,380;61,2320;4,380;123,3240
4,390;-0,3545;4,390;61,2320;4,390;123,3240
4,400;-0,1615;4,400;61,2320;4,400;123,3240
4,410;-0,3545;4,410;61,2456;4,410;123,3240
4,420;-0,1615;4,420;61,0600;4,420;123,3240
4,430;-0,3545;4,430;61,0600;4,430;123,3240
4,440;-0,1720;4,440;61,0600;4,440;123,3240
4,450;-0,1720;4,450;61,0600;4,450;123,3240
4,460;-0,1720;4,460;61,0600;4,460;123,3240
4,470;-0,1720;4,470;61,0600;4,470;123,3240
4,480;-0,1720;4,480;61,0600;4,480;123,3240
4,490;-0,1720;4,490;61,0600;4,490;123,3240
4,500;-0,1720;4,500;61,0600;4,500;123,3240
4,510;-0,1720;4,510;61,0600;4,510;123,3240
4,520;-0,1720;4,520;61,0600;4,520;123,3240
4,530;-0,1720;4,530;61,0600;4,530;123,3240
4,540;-0,1720;4,540;61,0600;4,540;123,3240
4,550;-0,1720;4,550;61,0600;4,550;123,3407
4,560;-0,1720;4,560;61,0600;4,560;123,1520
4,570;-0,1720;4,570;61,0600;4,570;123,1520
4,580;-0,1825;4,580;61,0600;4,580;123,1520
4,590;0,0000;4,590;61,0600;4,590;123,1520
4,600;0,0000;4,600;61,0600;4,600;123,1520
4,610;0,0000;4,610;61,0600;4,610;123,1520
4,620;0,0000;4,620;61,0600;4,620;123,1520
4,630;0,0000;4,630;61,0600;4,630;123,1520
4,640;0,0000;4,640;61,0600;4,640;123,1520
4,650;0,0000;4,650;61,0600;4,650;123,1520
4,660;0,0000;4,660;61,0600;4,660;123,1520
4,670;-0,0105;4,670;61,0600;4,670;123,1520
4,680;0,1720;4,680;61,0600;4,680;123,1520
4,690;0,1720;4,690;61,0600;4,690;123,1520
4,700;0,1720;4,700;61,0600;4,700;123,1520
4,710;0,1720;4,710;61,0600;4,710;123,1520
4,720;0,1720;4,720;61,0600;4,720;123,1520
4,730;0,1720;4,730;61,0600;4,730;123,1520
4,740;0,1720;4,740;61,0600;4,740;123,1520
4,750;0,1720;4,750;61,0600;4,750;123,1520
4,760;0,1720;4,760;61,0600;4,760;123,1520
4,770;0,1720;4,770;61,0600;4,770;123,1520
4,780;0,1615;4,780;61,0465;4,780;123,1520
4,790;0,3440;4,790;61,2320;4,790;123,1520
4,800;0,3440;4,800;61,2320;4,800;123,1520
4,810;0,3440;4,810;61,2320;4,810;123,1520
4,820;0,3440;4,820;61,2320;4,820;123,1520
4,830;0,3440;4,830;61,2320;4,830;123,1520
4,840;0,3440;4,840;61,2320;4,840;123,1520
4,850;0,3440;4,850;61,2320;4,850;123,1520
4,860;0,3440;4,860;61,2320;4,860;123,1520
4,870;0,3440;4,870;61,2320;4,870;123,1520
4,880;0,3440;4,880;61,2320;4,880;123,1520
4,890;0,3440;4,890;61,2320;4,890;123,1520
4,900;0,3440;4,900;61,2320;4,900;123,1520
4,910;0,3440;4,910;61,2320;4,910;123,1520
4,920;0,3440;4,920;61,2320;4,920;123,1520
4,930;0,3440;4,930;61,2184;4,930;123,1520
4,940;0,3440;4,940;61,4040;4,940;123,1520
4,950;0,3440;4,950;61,4040;4,950;123,1354
4,960;0,3440;4,960;61,4040;4,960;123,3240
4,970;0,3440;4,970;61,4040;4,970;123,3240
4,980;0,3440;4,980;61,4040;4,980;123,3240
4,990;0,3440;4,990;61,4040;4,990;123,3240
5,000;0,3440;5,000;61,4040;5,000;123,3240
5,010;0,3440;5,010;61,4040;5,010;123,3240
5,020;0,3440;5,020;61,4040;5,020;123,3240
5,030;0,3440;5,030;61,4040;5,030;123,3240
